dataset,unit,eps,gamma,delta,fpr,tpr_empirical,tpr_dp_bound,n_shadows,n_pos,n_neg
cifar100,U1,1.0,1.0,1e-05,0.10353218432956626,0.09897710667316123,0.2814396553237323,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.1084365968689611,0.10423770092547492,0.29477123080883594,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.11357333583431052,0.10986848514369216,0.3087343349958828,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.11895340673703195,0.11528494885533366,0.3233588839665717,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.12458833642950082,0.1212469556746225,0.33867621095425415,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.1304901978014403,0.1274037993180711,0.3547191334756816,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.13667163564620075,0.13332683877252802,0.371522023642843,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.14314589375234785,0.13956161714564053,0.38912088180553633,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.14992684327860456,0.14667316122747198,0.4075534136824579,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.15702901247293774,0.15403799318071115,0.4268591111460554,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.16446761779946645,0.16212372138334144,0.44707933683423706,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.17225859653987874,0.16989771066731613,0.46825741277021055,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.18041864093920718,0.1774184120798831,0.490438713180324,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.18896523396912096,0.18696541646371165,0.5136707617087733,1024,51325,51175
