dataset,method,unit,eps,gamma,n_clients,seed,p,lambda,clip_C,final_avg_acc,bwt,avg_incremental_acc
cifar100,m9_contractive,U2,2,0.9,10,1,32,10.0,49.908871342539484,0.0058000000000000005,-0.030222222222222223,0.033632301587301586
cifar100,m9_contractive,U2,2,0.9,10,2,32,10.0,49.908871342539484,0.0251,-0.03311111111111111,0.05088480158730159
cifar100,m9_contractive,U2,2,0.7,10,0,32,10.0,49.908871342539484,0.012300000000000002,-0.03344444444444445,0.034019880952380954
cifar100,m9_contractive,U2,2,0.7,10,1,32,10.0,49.908871342539484,0.006900000000000001,-0.03344444444444444,0.0325554761904762
cifar100,m9_contractive,U2,2,0.7,10,2,32,10.0,49.908871342539484,0.0165,-0.041555555555555554,0.053285436507936504
cifar100,m9_contractive,U2,4,1.0,10,0,32,10.0,49.908871342539484,0.0126,-0.029333333333333336,0.042206626984126985
cifar100,m9_contractive,U2,4,1.0,10,1,32,10.0,49.908871342539484,0.0127,-0.034555555555555555,0.042254325396825394
cifar100,m9_contractive,U2,4,1.0,10,2,32,10.0,49.908871342539484,0.021300000000000003,-0.03933333333333333,0.05952095238095238
cifar100,m9_contractive,U2,4,0.9,10,0,32,10.0,49.908871342539484,0.0123,-0.03633333333333333,0.04259230158730159
cifar100,m9_contractive,U2,4,0.9,10,1,32,10.0,49.908871342539484,0.0095,-0.03833333333333333,0.0407284126984127
cifar100,m9_contractive,U2,4,0.9,10,2,32,10.0,49.908871342539484,0.0253,-0.040222222222222215,0.059566071428571433
cifar100,m9_contractive,U2,4,0.7,10,0,32,10.0,49.908871342539484,0.0127,-0.043444444444444445,0.04110353174603174
cifar100,m9_contractive,U2,4,0.7,10,1,32,10.0,49.908871342539484,0.0116,-0.04133333333333333,0.04001861111111111
cifar100,m9_contractive,U2,4,0.7,10,2,32,10.0,49.908871342539484,0.018099999999999998,-0.05344444444444445,0.06102277777777778
cifar100,m9_contractive,U2,8,1.0,10,0,32,100.0,49.908871342539484,0.017,-0.05288888888888889,0.07434170634920635
cifar100,m9_contractive,U2,8,1.0,10,1,32,100.0,49.908871342539484,0.014599999999999998,-0.07211111111111111,0.0743234126984127
cifar100,m9_contractive,U2,8,1.0,10,2,32,100.0,49.908871342539484,0.0198,-0.05777777777777778,0.0794688888888889
