dataset,method,family,view,elapsed,acc_mean,acc_ci_lo,acc_ci_hi,acc_norm,tpr1_mean,tpr1_ci_lo,tpr1_ci_hi,tpr1_norm,auc_mean,auc_ci_lo,auc_ci_hi,auc_norm,leak_norm
cifar100,m5_hybrid_replay,F1,full,5,0.86535,0.8501474999999998,0.8776999999999999,0.9909740075055774,0.06122481999838201,0.05283977242962785,0.06995323741566138,2.477366094135138,0.6242245193961047,0.6142915041007585,0.634998367867673,1.8726028265612589,2.477366094135138
cifar100,m5_hybrid_replay,F1,full,6,0.8593999999999999,0.8395975000000001,0.87560125,0.9859902966771565,0.06363562818542189,0.05471450164476816,0.07333926972787827,2.5939590750811843,0.6272808428317548,0.6171445102639229,0.6380188005482362,1.9186748897280677,2.5939590750811843
cifar100,m8_analytic,F5,aggregate,0,0.9475000000000001,0.9351987500000003,0.9581012499999998,1.0,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0
cifar100,m8_analytic,F5,aggregate,1,0.9350000000000002,0.9218500000000001,0.9450062499999999,1.0083759888320147,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0
cifar100,m8_analytic,F5,aggregate,2,0.9230999999999998,0.9090462500000001,0.9342512500000001,1.0043927408096787,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0
cifar100,m8_analytic,F5,aggregate,3,0.9141,0.8998474999999998,0.9254025000000003,0.999659642358572,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0
cifar100,m8_analytic,F5,aggregate,4,0.9054500000000001,0.8916462500000001,0.9166025000000002,0.9934893305856546,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0
cifar100,m8_analytic,F5,aggregate,5,0.89665,0.8812000000000003,0.9083,0.9861432781581688,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0
cifar100,m8_analytic,F5,aggregate,6,0.88735,0.8720487499999998,0.8990512499999999,0.9776183828580293,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0
cifar100,m8_analytic,F5,full,0,0.9475000000000001,0.9351987500000003,0.9581012499999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cifar100,m8_analytic,F5,full,1,0.9350000000000002,0.9218500000000001,0.9450062499999999,1.0083759888320147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cifar100,m8_analytic,F5,full,2,0.9230999999999998,0.9090462500000001,0.9342512500000001,1.0043927408096787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cifar100,m8_analytic,F5,full,3,0.9141,0.8998474999999998,0.9254025000000003,0.999659642358572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cifar100,m8_analytic,F5,full,4,0.9054500000000001,0.8916462500000001,0.9166025000000002,0.9934893305856546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cifar100,m8_analytic,F5,full,5,0.89665,0.8812000000000003,0.9083,0.9861432781581688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cifar100,m8_analytic,F5,full,6,0.88735,0.8720487499999998,0.8990512499999999,0.9776183828580293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cifar100,m8_analytic,F5,global,0,0.9475000000000001,0.9351987500000003,0.9581012499999998,1.0,0.9660258184245226,0.954716685994908,0.9753844469305817,1.0,0.9986535903794697,0.9981139273505126,0.9990712965457078,1.0,1.0
cifar100,m8_analytic,F5,global,1,0.9350000000000002,0.9218500000000001,0.9450062499999999,1.0083759888320147,0.9583095931888848,0.9464317487374232,0.9691566825668327,0.9919288526659732,0.9982506994994451,0.9976076684240238,0.9987618970068566,0.9991920425566013,0.9919288526659732
cifar100,m8_analytic,F5,global,2,0.9230999999999998,0.9090462500000001,0.9342512500000001,1.0043927408096787,0.9503491836103469,0.9369572213153222,0.962895742352949,0.9836022892770722,0.9977982412323179,0.997054354218855,0.998408432331312,0.9982846826661753,0.9836022892770722
cifar100,m8_analytic,F5,global,3,0.9141,0.8998474999999998,0.9254025000000003,0.999659642358572,0.9414771524849826,0.9282921419640118,0.9545089655315483,0.9743221726166404,0.9973143693467476,0.9964695719166701,0.9980122181049912,0.9973143258996632,0.9743221726166404
cifar100,m8_analytic,F5,global,4,0.9054500000000001,0.8916462500000001,0.9166025000000002,0.9934893305856546,0.9323121001481385,0.9181995426861456,0.9464982759887683,0.9647355566903596,0.9968046437681828,0.9958682495764107,0.9975953423766922,0.9962921221325614,0.9647355566903596
cifar100,m8_analytic,F5,global,5,0.89665,0.8812000000000003,0.9083,0.9861432781581688,0.9249214540363672,0.9082083719573643,0.9383783216627879,0.9570049640961651,0.9962746175478477,0.9952394742586637,0.997156971787023,0.9952292074547954,0.9570049640961651
cifar100,m8_analytic,F5,global,6,0.88735,0.8720487499999998,0.8990512499999999,0.9776183828580293,0.9165052336844162,0.8988982065070937,0.9312724230166742,0.9482016240714988,0.9957471326753377,0.9946211673065913,0.9967075087383518,0.9941713891964155,0.9482016240714988
cub200,m0_fedavg,F1,full,0,0.8705179872126376,0.8306901476297384,0.9051838164087785,1.0,0.05790390074035057,0.05350481802675816,0.06251657486585895,1.0,0.6570406826594243,0.6505647918173428,0.6635234333983449,1.0,1.0
cub200,m0_fedavg,F1,full,1,0.5639616750778856,0.5204081669355295,0.6092499090654717,0.6488281495649013,0.03432534457027478,0.030712143673427315,0.03820325440874111,0.5077946512565515,0.6568786215511131,0.6508297803493512,0.6629181653372153,0.9989680310505104,0.5077946512565515
cub200,m0_fedavg,F1,full,2,0.4521769985136811,0.39941127958449635,0.5089414118132995,0.5213905799383658,0.029748144246432368,0.026249676492467115,0.033697671326540946,0.4122450143146287,0.6498965642968659,0.6440092126988893,0.6558208601035846,0.9545078495484391,0.4122450143146287
