dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
imagenet_r,m4_proto,F2,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9770387922936347,0.9725322322598301,0.5,,
imagenet_r,m4_proto,F2,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.7324282862939808,0.7017801955866926,0.01,,
imagenet_r,m4_proto,F2,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9770387922936347,0.9725322322598301,0.5,,
imagenet_r,m4_proto,F2,global,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.10591505339640123,0.08404756500950238,0.01,,
imagenet_r,m4_proto,F2,global,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.5895923952700763,0.5691081121429225,0.5,,
imagenet_r,m4_proto,F2,global,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.10591505339640123,0.08404756500950238,0.01,,
imagenet_r,m4_proto,F2,global,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.5895923952700763,0.5691081121429225,0.5,,
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.08302667144299346,0.07176110296321292,0.01,,
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.685155438009021,0.6747122322723653,0.5,,
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.08302667144299346,0.07176110296321292,0.01,,
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.685155438009021,0.6747122322723653,0.5,,
imagenet_r,m8_analytic,F5,aggregate,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,0.9997873074745087,0.01,,
imagenet_r,m8_analytic,F5,aggregate,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9999914067017781,0.9999647305819943,0.5,,
imagenet_r,m8_analytic,F5,aggregate,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,0.9997873074745087,0.01,,
imagenet_r,m8_analytic,F5,aggregate,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9999914067017781,0.9999647305819943,0.5,,
imagenet_r,m8_analytic,F5,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
imagenet_r,m8_analytic,F5,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
imagenet_r,m8_analytic,F5,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
imagenet_r,m8_analytic,F5,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
imagenet_r,m8_analytic,F5,global,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.9956270117371655,0.9910177548835916,0.01,,
imagenet_r,m8_analytic,F5,global,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9998456617013021,0.9997452907420028,0.5,,
imagenet_r,m8_analytic,F5,global,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.9956270117371655,0.9910177548835916,0.01,,
imagenet_r,m8_analytic,F5,global,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9998456617013021,0.9997452907420028,0.5,,
